item_code,item_name,base_uom,track_lots,track_serial_numbers,is_active
AirMax AM-5G17-90 Antenna,AirMax AM-5G17-90 Antenna,Nos,f,f,t
AirMAX AM-5G19-120 Antenna,AirMAX AM-5G19-120 Antenna,Nos,f,f,t
AirMAX Rocket AC Lite,AirMAX Rocket AC Lite,Nos,f,f,t
Air Prism-5AC-90-HD,Air Prism-5AC-90-HD,Nos,f,t,t
Aluminum Paint,Aluminum Paint,Nos,f,f,t
Andriod Charger,Andriod Charger,Nos,f,f,t
Aqua Seal,Aqua Seal,Nos,f,f,t
AR6710-L14T2X4-Technical Support Service,AR6710-L14T2X4-Technical Support Service,Service,f,f,t
AR7024 Sharp Toner,AR7024 Sharp Toner,Nos,f,f,t
Aviation Light,Aviation Light,Nos,f,f,t
AVR Voltage Regulator,AVR Voltage Regulator,Nos,f,f,t
Ball,Ball,Nos,f,f,t
Battery Equalizer,Battery Equalizer,Nos,f,f,t
Battery Racks,Battery Racks,Nos,f,f,t
Big Caddy 3.5HDD,Big Caddy 3.5HDD,Nos,f,f,t
Bill Counter,Bill Counter,Nos,f,f,t
Binatone Standing Fan,Binatone Standing Fan,Nos,f,f,t
Binding Back Book Covers,Binding Back Book Covers,Nos,f,f,t
Binding Machine,Binding Machine,Nos,f,f,t
Binding Wire - 20kg,Binding Wire - 20kg,Kg,f,f,t
Blower,Blower,Nos,f,f,t
Bolt and Nuts,Bolt and Nuts,Nos,f,f,t
Breaker Box,Breaker Box,Nos,f,f,t
Cable Lock,Cable Lock,Nos,f,f,t
Cable Lock - 16mm,Cable Lock - 16mm,Nos,f,f,t
Cable Management Rack,Cable Management Rack,Nos,f,f,t
Cable Tie X 200,Cable Tie X 200,Nos,f,f,t
Cable Tie X 370,Cable Tie X 370,Nos,f,f,t
calibrator cleaner,calibrator cleaner,Nos,f,f,t
Camera,Camera,Nos,f,f,t
car maintenance,car maintenance,Nos,f,f,t
C-Band converter,C-Band converter,Nos,f,f,t
CCR1009-7G-1C-1S+PC,CCR1009-7G-1C-1S+PC,Nos,f,f,t
CCR1036-12G-4S,CCR1036-12G-4S,Nos,f,f,t
CCR1072-1G-8S+,CCR1072-1G-8S+,Nos,f,f,t
CCR2004-1G-12S+2XS,CCR2004-1G-12S+2XS,Nos,f,f,t
CCTV Cable,CCTV Cable,Nos,f,f,t
CCTV Hikvision Camera,CCTV Hikvision Camera,Nos,f,f,t
CD Cover,CD Cover,Nos,f,f,t
CD Plate,CD Plate,Nos,f,f,t
Cellotape,Cellotape,Nos,f,f,t
Charge Controller,Charge Controller,Nos,f,f,t
Chisel,Chisel,Nos,f,f,t
Choke,Choke,Nos,f,f,t
Civil works,Civil works,Nos,f,f,t
Cleaver,Cleaver,Nos,f,t,t
Cleaver Blades,Cleaver Blades,Nos,f,f,t
Cleavers,Cleavers,Nos,f,f,f
Clock-in Machine,Clock-in Machine,Nos,f,f,t
Closure Sealant,Closure Sealant,Nos,f,f,t
C'mon Board,C'mon Board,Nos,f,f,t
Colocation,Colocation,Nos,f,f,t
Compass,Compass,Nos,f,f,t
Concord paper,Concord paper,Box,f,f,t
Concrete Cut-Off Machine 16inch,Concrete Cut-Off Machine 16inch,Nos,f,f,t
Concrete Drilling Machine Big,Concrete Drilling Machine Big,Nos,f,f,t
Core switch-S5755-H48T4Y2CZ,Core switch-S5755-H48T4Y2CZ,Nos,f,f,t
CPU,CPU,Nos,f,f,t
Crimping Tool,Crimping Tool,Nos,f,f,t
Cross Connect per Unit,Cross Connect per Unit,Unit,f,f,t
CRS318-16P-2S+ - Outdoor Switch,CRS318-16P-2S+ - Outdoor Switch,Nos,f,f,t
CRS326-24S+2Q+RM,CRS326-24S+2Q+RM,Nos,f,f,t
CRS328-24P-4S+RM,CRS328-24P-4S+RM,Nos,f,f,t
Cutlass,Cutlass,Nos,f,f,t
Cutter,Cutter,Nos,f,f,t
DC-Breaker Single Pole,DC-Breaker Single Pole,Nos,f,f,t
Dedicated Broadband Plan,Dedicated Broadband Plan,Mbps,f,f,t
Delivery Fee,Delivery Fee,Nos,f,f,t
Dell SFP-SR,Dell SFP-SR,Nos,f,f,t
Deskjet-2632,Deskjet-2632,Nos,f,f,t
Desktop 3.0 Hard Drive Casing,Desktop 3.0 Hard Drive Casing,Nos,f,f,t
Desktop PCI Adapter,Desktop PCI Adapter,Nos,f,f,t
Digital earth tester,Digital earth tester,Nos,f,f,t
Direct Attach Cable - Generic SFP+,Direct Attach Cable - Generic SFP+,Nos,f,f,t
Dispenser,Dispenser,Nos,f,f,t
Door cylinder,Door cylinder,Nos,f,f,t
Double Socket Patress Box,Double Socket Patress Box,Nos,f,f,t
Drilling BIT -12mm,Drilling BIT -12mm,Nos,f,f,t
Drilling BIT -20mm,Drilling BIT -20mm,Nos,f,f,t
Drilling Bits (6mm),Drilling Bits (6mm),Nos,f,f,t
Drilling Machine,Drilling Machine,Nos,f,f,t
Duct Pipe,Duct Pipe,Meter,f,f,t
Duracell Battery,Duracell Battery,Nos,f,f,t
Duracell Battery - Smallest Size,Duracell Battery - Smallest Size,Nos,f,f,t
DVD Drive - Transcend,DVD Drive - Transcend,Nos,f,f,t
Dymo printer Catridge - 9mm,Dymo printer Catridge - 9mm,Nos,f,f,t
Earth Cable,Earth Cable,Meter,f,f,t
Edge Point,Edge Point,Nos,f,f,t
Edge Switch-12P-250W,Edge Switch-12P-250W,Nos,f,f,t
Edge Switch-16P-POE,Edge Switch-16P-POE,Nos,f,f,t
