item_code,item_name,base_uom,track_lots,track_serial_numbers,is_active
SFP- Hauwei 10G-10Km,SFP- Hauwei 10G-10Km,Nos,f,f,t
SFP -RJ45 100M,SFP -RJ45 100M,Nos,f,f,t
SFP -RJ45-Cisco,SFP -RJ45-Cisco,Nos,f,f,t
SFP+ UF - SM- 10G-S,SFP+ UF - SM- 10G-S,Nos,f,f,t
Sharp - AR6020V Photocopier,Sharp - AR6020V Photocopier,Nos,f,f,t
SHARP AR7024d,SHARP AR7024d,Nos,f,f,t
SHARP mx- 237ft Black Toner,SHARP mx- 237ft Black Toner,Nos,f,f,t
Sharp Photocopier 30M31,Sharp Photocopier 30M31,Nos,f,f,t
Single Phase,Single Phase,Nos,f,f,t
Slide Binder -10mm,Slide Binder -10mm,Box,f,f,t
Slide Binder -18mm,Slide Binder -18mm,Box,f,f,t
Small white envelope,Small white envelope,Nos,f,f,t
Smoke Detector,Smoke Detector,Nos,f,f,t
Socket 350-50mm,Socket 350-50mm,Nos,f,f,t
Socket-Double,Socket-Double,Nos,f,f,t
Socket-Single,Socket-Single,Nos,f,f,t
Solar Charge Controller,Solar Charge Controller,Nos,f,f,t
Soldering Iron,Soldering Iron,Nos,f,f,t
Solid and Liquid Waste disposal,Solid and Liquid Waste disposal,Year,f,f,t
Solid State Drive - 512ssd,Solid State Drive - 512ssd,Nos,f,f,t
Spanner 12x13,Spanner 12x13,Nos,f,f,t
Spanner 14x15,Spanner 14x15,Nos,f,f,t
Spanner 16x17,Spanner 16x17,Nos,f,f,t
Spanner 8x10,Spanner 8x10,Nos,f,f,t
Spectrum Analyzer,Spectrum Analyzer,Nos,f,f,t
Splicing Machine,Splicing Machine,Nos,f,f,t
Splicing Machine Battery-(AI 9),Splicing Machine Battery-(AI 9),Nos,f,f,t
SPLITTER1:16,SPLITTER1:16,Nos,f,f,t
SPLITTER 1:2,SPLITTER 1:2,Nos,f,f,t
SPLITTER 1:32,SPLITTER 1:32,Nos,f,f,t
SPLITTER 1:4,SPLITTER 1:4,Nos,f,f,t
SPLITTER 1:64,SPLITTER 1:64,Nos,f,f,t
SPLITTER 1:8,SPLITTER 1:8,Nos,f,f,t
Stabilizer -2kva Mercury,Stabilizer -2kva Mercury,Nos,f,f,t
Stagger,Stagger,Nos,f,f,t
Stamp Pad,Stamp Pad,Nos,f,f,t
Stamp pad ink,Stamp pad ink,Nos,f,f,t
Standard Hammer,Standard Hammer,Nos,f,f,t
Standard Plan,Standard Plan,Nos,f,f,t
Stapler,Stapler,Nos,f,f,t
Stapler Pin,Stapler Pin,Box,f,f,t
Startall Battery 100AH,Startall Battery 100AH,Nos,f,f,t
Steel Galvanized Gard Wire,Steel Galvanized Gard Wire,Kg,f,f,t
Sticky note,Sticky note,Nos,f,f,t
Stripper,Stripper,Nos,f,f,t
Supply of FOC,Supply of FOC,Nos,f,f,t
Tenda,Tenda  F3 (4-in-1 Wireless Router),Nos,f,f,f
Tenda  F3 (4-in-1 Wireless Router),Tenda  F3 (4-in-1 Wireless Router),Nos,f,t,t
Tenda N301 (4-in-1 Wireless Router),Tenda N301 (4-in-1 Wireless Router),Nos,f,t,t
Tenda Outdoor CPE,Tenda Outdoor CPE,Nos,f,f,t
Test 1,Test 1,Nos,f,t,t
TESTS,TES,Nos,f,f,t
Threaded Rod,Threaded Rod,Nos,f,f,t
Tipex,Tipex,Nos,f,f,t
Tool Box,Tool Box,Nos,f,f,t
Tools Bag,Tools Bag,Nos,f,f,t
Torch,Torch,Nos,f,f,t
"Toshiba 10TB, 7200RPM HDD SAS","Toshiba 10TB, 7200RPM HDD SAS",Nos,f,f,t
Tp-Link Archer C64 AC1200 Wireless MU-MIMO Wifi Ro,Tp-Link Archer C64 AC1200 Wireless MU-MIMO Wifi Router,Nos,f,f,t
TP-Link Router,TP-Link Router,Nos,f,f,t
TP-Link Router 2,TP-Link Router 2,Nos,f,f,t
TP-Link Switch 16p,TP-Link Switch 16p,Nos,f,f,t
Tracing,Tracing,Service,f,f,t
Transparent PVC Cover,Transparent PVC Cover,Nos,f,f,t
Transport,Transport,Kg,f,f,t
Travelling Box,Travelling Box,Nos,f,f,t
Trenching,Trenching,Meter,f,f,t
Trolley Bag,Trolley Bag,Nos,f,f,t
Trowel,Trowel,Nos,f,f,t
Trunking 50x50mm,Trunking 50x50mm,Nos,f,f,t
Trunking pipe 16X25,Trunking pipe 16X25,Nos,f,f,t
Trunking Pipe 25x40,Trunking Pipe 25x40,Nos,f,f,t
T-shirts,T-shirts,Nos,f,f,t
Tune boucle,Tune boucle,Nos,f,f,t
TV Protector,TV Protector,Nos,f,f,t
U6-Lite Unifi Access point,U6-Lite Unifi Access point,Nos,f,f,t
U6 Long-Range,U6 Long-Range,Nos,f,f,t
Ubiquiti UAP-AC-LR,Ubiquiti UAP-AC-LR,Nos,f,f,t
Ubiquity-UF-SM-10G,Ubiquity-UF-SM-10G,Nos,f,f,t
Ubiquity-UF-SM-1G-3Km,Ubiquity-UF-SM-1G-3Km,Nos,f,f,t
UC-DAC-SFP+ Ubiquiti,UC-DAC-SFP+ Ubiquiti,Nos,f,f,t
UF-LOCO,UF-LOCO,Nos,f,f,t
UF-NANO G,UF-NANO G,Nos,f,f,t
UF-WIFI Power Adapter,UF-WIFI Power Adapter,Nos,f,f,t
UF-WIFI Router,UF-WIFI Router,Nos,f,t,t
Umbrella - Medium size,Umbrella - Medium size,Nos,f,f,t
Umbrella-Outdoor Canopy (Large),Umbrella-Outdoor Canopy (Large),Nos,f,f,t
Unifi Ac Mesh,Unifi Ac Mesh,Nos,f,f,t
Unified Video,Unified Video,Nos,f,f,t
Unifi Switch 24 Port,Unifi Switch 24 Port,Nos,f,f,t
USB HUB 4 Ports,USB HUB 4 Ports,Nos,f,f,t
USB Slim Portable Optical Drive,USB Slim Portable Optical Drive,Nos,f,f,t
VFL Batteries,VFL Batteries,Nos,f,f,t
VFL TOOL,VFL TOOL,Nos,f,f,t
Whiteboard,Whiteboard,Nos,f,f,t
White Paint,White Paint,Nos,f,f,t
Wireless Card,Wireless Card,Nos,f,f,t
Wireless Keyboard,Wireless Keyboard,Nos,f,f,t
XTD1250KHE 1250 Watt Outdoor HPA 13.75-14.5GHz wit,"XTD1250KHE 1250 Watt Outdoor HPA 13.75-14.5GHz with, Integral BUC & 10MHz Ref (Ethernet Port)",Box,f,f,t
XTD-400C 400 Watt (CW) Outdoor HPA 5.85-6.425GHz w,"XTD-400C 400 Watt (CW) Outdoor HPA 5.85-6.425GHz with, Integral BUC & 10MHz Ref (Ethernet Port)",Box,f,f,t
XTD-55OKAL Watt (Peak) (300WCW) Outdoor HPA 29-30G,"XTD-55OKAL Watt (Peak) (300WCW) Outdoor HPA 29-30GHz with, Integral BUC & 10MHz Ref (Ethernet Port)",Nos,f,f,t
